slong+b! Haller-02 001:00113 [fb];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=01687,00174,00101,00115&page=001;+ Haller-02.djvu p 1 x 1687 y 174 h 101 w 115;※ 0_Haller-02_PT04_165.djvu 00115 (115) new
slong+b! Haller-04 001:00135 [(b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1757,169,77,87&page=1;+ Haller-04.djvu p 1 x 1756 y 186 h 77 w 71;※ 0_Haller-04_PT04_167.djvu 00137 (137) add
slong&bstrok Haller-05 001:00125 [(b];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01048,00124,00046,00053&page=001;slong&bstrok+ Haller-05.djvu p 1 x 1048 y 124 h 46 w 53;※ 0_Haller-05_PT04_168.djvu 00127 (127) new
slong! Haller-09 001:00131 [fb];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00868,00155,00043,00051&page=001;slong!+Haller-09.djvu p 1 x 868 y 155 h 43 w 51;※ 0_Haller-09_PT04_172.djvu 00133 (133) new
slongbstrok Haller-10 001:00104 [fb];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00534,00069,00041,00044&page=001;slongbstrok+ Haller-10.djvu p 1 x 534 y 69 h 41 w 44;※ 0_Haller-10_PT04_173.djvu 00106 (106) new
slong&bstrok Hochfeder-03 001:00113 [(b];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01736,00258,00078,00080&page=001;slong&bstrok+Hochfeder-03.djvu p 1 x 1736 y 258 h 78 w 80;※ 0_Hochfeder-03_PT01_021.djvu 00115 (115) new
slong&bstrok Hochfeder-05 001:00118 [(b];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02065,00247,00117,00128&page=001;slong&bstrok+Hochfeder-05.djvu p 1 x 2065 y 247 h 117 w 128;※ 0_Hochfeder-05_PT01_023.djvu 00120 (120) new
slong&bstrok Hochfeder-06 001:00118 [ÍD];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=01405,00069,00117,00111&page=001;slong&bstrok+Hochfeder-06.djvu p 1 x 1405 y 69 h 117 w 111;※ 0_Hochfeder-06_PT01_024.djvu 00120 (120) new
slong&bstrok Hochfeder-07 001:00114 [(b];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01303,00125,00062,00063&page=001;slong&bstrok+Hochfeder-07.djvu p 1 x 1303 y 125 h 62 w 63;※ 0_Hochfeder-07_PT01_024.djvu 00116 (116) new
slong&bstrok Hochfeder-08 001:00126 [(b];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02290,00292,00116,00122&page=001;slong&bstrok+Hochfeder-08.djvu p 1 x 2290 y 292 h 116 w 122;※ 0_Hochfeder-08_PT01_020.djvu 00128 (128) new
slong&bstrok Hochfeder-08 001:00126 [(b];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02290,00292,00116,00122&page=001;slong&bstrok+Hochfeder-08.djvu p 1 x 2290 y 292 h 116 w 122;※ 0_Hochfeder-08_PT01_020.djvu 00128 (128) new
slong&bstrok Hochfeder-09 001:00118 [(b];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=02491,00254,00104,00099&page=001;slong&bstrok+Hochfeder-09.djvu p 1 x 2491 y 254 h 104 w 99;※ 0_Hochfeder-09_PT01_027.djvu 00120 (120) new
slong&bstrok Hochfeder-09 001:00118 [(b];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=02491,00254,00104,00099&page=001;slong&bstrok+Hochfeder-09.djvu p 1 x 2491 y 254 h 104 w 99;※ 0_Hochfeder-09_PT01_027.djvu 00120 (120) new
slong&! Hochfeder-10 001:00113 [(U];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=03226,00338,00147,00149&page=001;slong&!+Hochfeder-10.djvu p 1 x 3226 y 338 h 147 w 149;※ 0_Hochfeder-10_PT01_028.djvu 00118 (118) new
slong&bstrok Hochfeder-11 001:00092 [(5];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=00643,00091,00124,00139&page=001;slong&bstrok+Hochfeder-11.djvu p 1 x 643 y 91 h 124 w 139;※ 0_Hochfeder-11_PT01_028.djvu 00094 (94) new
slong&bstrok! Ungler1-01 001:00080 [(b];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00900,00315,00042,00046&page=001;slong&bstrok!+ Ungler1-01.djvu p 1 x 900 y 315 h 42 w 46;※ 0_Ungler1-1_PT03_112.djvu 00082 (82) new
slong&bstrok Ungler1-02 001:00117 [(b];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=00439,00102,00047,00046&page=001;slong&bstrok+Ungler1-02.djvu p 1 x 439 y 102 h 47 w 46;※ 0_Ungler1-02_PT03_113.djvu 00119 (119) new
slong&bstrok Ungler1-02 001:00118 [(b];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=00492,00103,00041,00047&page=001;slong&bstrok+Ungler1-02.djvu p 1 x 492 y 103 h 41 w 47;※ 0_Ungler1-02_PT03_113.djvu 00120 (120) new
slong&bstrok Ungler1-03 001:00127 [[5];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01697,00272,00040,00046&page=001;slong&bstrok+ Ungler1-03.djvu p 1 x 1697 y 272 h 40 w 46;※ 0_Ungler1-03_PT03_114.djvu 00129 (129) new
slong&bstrok Ungler1-03 001:00128 [fo];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01763,00270,00045,00048&page=001;slong&bstrok+ Ungler1-03.djvu p 1 x 1763 y 270 h 45 w 48;※ 0_Ungler1-03_PT03_114.djvu 00130 (130) new
slong&bstrok Ungler1-05 001:00084 [dv];file:../../DjVu/Ungler1-05.djvu?djvuopts=&highlight=00425,00044,00050,00052&page=001;slong&bstrok+ Ungler1-05.djvu p 1 x 425 y 44 h 50 w 52;※ 0_Ungler1-05_PT03_116.djvu 00086 (86) new
slong&bstrok Ungler1-07 001:00108 [fb];file:../../DjVu/Ungler1-07.djvu?djvuopts=&highlight=01583,00187,00073,00071&page=001;slong&bstrok+ Ungler1-07.djvu p 1 x 1583 y 187 h 73 w 71;※ 0_Ungler1-07_PT03_118.djvu 00110 (110) new
slong&bstrok Ungler2-14 001:00142 [(b];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=01436,00132,00047,00057&page=001;slong&bstrok+ Ungler2-14.djvu p 1 x 1436 y 132 h 47 w 57;※ 0_Ungler2-14_PT07_357.djvu 00144 (144) new
